# 5 label models x 6 published ordering policies, 200 seeds, beta=2.0. Scored against gold priority. Lower is better throughout.
policy,label_model,rho,lin_cost,conv_cost,rel_tardiness,wait_High,p95_High,worst_High,lang_spread_High,breach_rate,wait_Low,mean_wait,p95_Low,wait_Medium,p95_Medium
edd,chain-full,1.05,0.14869344005480886,0.12768477599028613,0.01367967802969427,5.740990438931562,23.53272105357927,133.2154584881511,10.830627835502439,0.012145000000000001,87.87311372138021,52.30196851083817,181.7187344449438,10.131392474109093,69.71029713802167
static-tier,logpool,1.05,0.1611988658506305,0.1628463747358942,0.01992138494512445,6.70225572996807,31.095938987272174,145.30044851376715,12.414430660627513,0.018615000000000003,84.7828677385941,52.260264834746884,165.11536131061663,14.508741228377575,110.1638883964107
cmu-hsf,logpool,1.05,0.12099762732574933,0.1373093012877048,0.024929501761056825,1.7691975875465509,4.828428545574837,24.2371444600459,1.742930342713712,0.034965,92.89085529657345,52.16274378324784,537.3167671851855,3.1492524262089705,11.071134211575021
apq,logpool,1.05,0.19683814207060363,0.09851796461984698,0.007132572619843039,9.340105339738008,23.229761508033285,95.81283539094007,7.7118236925297,0.0098,76.24837261684142,52.282557072691795,152.26086775823026,26.958502885483227,70.52677057857645
gcmu,logpool,1.05,0.14906926791015085,0.06415735438368675,0.0034317219257592405,3.294624696180631,7.708298579500438,67.55844065218024,4.41069468983103,0.00477,85.9664803846761,52.26126940488003,192.81892462055237,13.614110868479237,43.09600526815519
edd,logpool,1.05,0.14628810918385102,0.11142994543001475,0.011850719569475542,4.7772084021571235,14.9284178471819,123.89671309914586,9.383352351478116,0.011755000000000002,87.89094432970262,52.29637382982309,174.1048811307193,10.345961611571683,72.6859332021626
static-tier,stacked,1.05,0.16785058257960167,0.19965702574628585,0.025126965312008823,8.898412798871112,59.713543693530916,156.5917444173369,16.426896393572065,0.020420000000000004,84.41912493170288,52.291235736502074,165.18482811091963,14.573793111889454,110.79167754676881
cmu-hsf,stacked,1.05,0.12293578863719176,0.10499268808779645,0.009646504228811833,2.27221768510629,5.430727829754469,58.94704448745825,3.4313324572429225,0.02843,93.135341820905,52.35576240234202,419.0636219971619,3.1624053458972115,11.15011530821898
apq,stacked,1.05,0.2028226650154304,0.13003687845532658,0.012607048368093352,11.074294336292935,35.610692100620724,121.32958107806974,11.123373727938015,0.01319,75.67229928677015,52.272214400041996,149.50180810046285,27.351512503636837,78.11047011953698
gcmu,stacked,1.05,0.1578398715381622,0.09145622551207878,0.008019907503527839,4.992227707501265,15.194433632491346,112.3359126328662,8.413852010355921,0.00881,84.56839877763352,52.25652467565636,176.4962801061757,15.285682726308528,59.23772868311924
edd,stacked,1.05,0.15633551641069646,0.1571775875598889,0.018731890355996653,7.082217222965783,36.62959076096637,146.2022596290669,13.31482170642682,0.015595000000000003,86.49932082980804,52.27750883517263,171.2022117803233,11.816808600878208,89.04233653121544
