# dev weight-fit surface. fitted_on=dev fit_rhos=(0.95, 1.05) split=e7b5934392cd label_version=v8 sla_high=30.0 sla_med=120.0 sla_low=480.0 agents=5 service_mean=8.0min tickets_per_rep=1000 generated_by=run_system_eval.py
w_priority,w_sentiment,w_intent,alpha,rel_tardiness,high_mean_wait,low_p95_wait
0.05,0.55,0.4,4.0,0.008605253712515687,1.7437019491855565,282.6531771474638
0.05,0.55,0.4,8.0,0.007826772129078294,1.6788457368739038,273.510946302819
0.05,0.55,0.4,16.0,0.006996406439823267,1.834452180320792,257.7554188232745
0.05,0.6,0.35,0.0,0.013228641791573674,1.8756695103276968,323.7442002467663
0.05,0.6,0.35,0.5,0.011291495031399658,1.8081884093490557,310.58299698789943
0.05,0.6,0.35,1.0,0.010463631060084766,1.771085646226071,306.76557823391886
0.05,0.6,0.35,2.0,0.009706365432953936,1.757891302921091,295.6225657279881
0.05,0.6,0.35,4.0,0.008611106549321733,1.7618973977623071,283.50385465800076
0.05,0.6,0.35,8.0,0.007657431442871128,1.768854837517243,268.34153897495713
0.05,0.6,0.35,16.0,0.0070862260589541134,1.8757113384679058,255.5495420294146
0.05,0.65,0.3,0.0,0.013002970584321863,1.8220267807507502,326.86134201271756
0.05,0.65,0.3,0.5,0.011304228896073847,1.8570988579566894,314.2574397792053
0.05,0.65,0.3,1.0,0.010595974831441835,1.7937323358111514,305.2447324497039
0.05,0.65,0.3,2.0,0.009640070451587464,1.76361972882943,293.84079708966385
0.05,0.65,0.3,4.0,0.008606556851527704,1.8517127429519384,282.0664240588815
0.05,0.65,0.3,8.0,0.007697707103731383,1.8385554255579233,266.6752375917184
0.05,0.65,0.3,16.0,0.0070712376679185895,1.9343799059318985,253.85340020077524
0.05,0.7,0.25,0.0,0.012877620391563357,1.8083742247029466,324.72060105420957
0.05,0.7,0.25,0.5,0.011363978419749163,1.8445896370145702,310.9279465967821
0.05,0.7,0.25,1.0,0.010535601360531695,1.8250661543813502,302.97630393825915
0.05,0.7,0.25,2.0,0.009479732953836384,1.7922513184975915,289.91970284570067
0.05,0.7,0.25,4.0,0.008500707399719828,1.8213435909198807,280.8910637430931
0.05,0.7,0.25,8.0,0.007643107851497623,1.881600663386137,265.8197871400323
0.05,0.7,0.25,16.0,0.006927795749698763,1.9907116478439602,254.94956785643237
0.05,0.75,0.2,0.0,0.012650413318203137,1.8779032913481704,324.20826453803005
0.05,0.75,0.2,0.5,0.011331522199973515,1.893357899320831,308.61689383769544
0.05,0.75,0.2,1.0,0.010669845207571188,1.9374037463615483,300.54614290739016
0.05,0.75,0.2,2.0,0.009465643904315734,1.8211387007247721,289.1780318212165
0.05,0.75,0.2,4.0,0.008452164598210596,1.9106213668261425,278.32291701619357
0.05,0.75,0.2,8.0,0.0074080982633762575,1.9416042707486814,264.8506247401669
0.05,0.75,0.2,16.0,0.0070138902014514025,2.0370360783265054,253.1764580631378
0.05,0.8,0.15,0.0,0.012636661359286738,1.968906984139947,322.7949774555386
0.05,0.8,0.15,0.5,0.011121304771578399,1.9642650516879885,309.25885988111094
0.05,0.8,0.15,1.0,0.010385838082876383,1.9684514169800078,302.6668951003323
0.05,0.8,0.15,2.0,0.009325635718316214,1.9226990536079802,288.6568372208919
0.05,0.8,0.15,4.0,0.008335118812626226,2.0144288348182324,275.52736360780773
0.05,0.8,0.15,8.0,0.007342880846634665,1.985020434200394,262.34411738283734
0.05,0.8,0.15,16.0,0.00677520987441865,2.162240476689921,251.93963152598587
0.05,0.85,0.1,0.0,0.012621182777269152,2.055239783071953,324.10979770582065
0.05,0.85,0.1,0.5,0.011092476969479815,2.0996400030927798,313.11236583178066
0.05,0.85,0.1,1.0,0.010293017691515539,1.9988487658352774,300.9995424793843
0.05,0.85,0.1,2.0,0.009275395496617173,2.0255818754646047,286.837102909584
0.05,0.85,0.1,4.0,0.008284960922309124,2.1472076042804855,275.5243523201753
0.05,0.85,0.1,8.0,0.0073645479992028124,2.1110847538833393,265.0451411256092
0.05,0.85,0.1,16.0,0.006797644676718663,2.3468863851364485,249.97191777881451
0.05,0.9,0.05,0.0,0.012584618612048072,2.249165883103148,328.1046468242452
0.05,0.9,0.05,0.5,0.011029314419586399,2.231938020711116,313.71920544687185
0.05,0.9,0.05,1.0,0.010160666637990359,2.2251659552101235,302.11196851440997
0.05,0.9,0.05,2.0,0.00906685365767769,2.239922316206675,286.19222418287967
0.05,0.9,0.05,4.0,0.008250643830831446,2.264713807653672,276.31880426136127
0.05,0.9,0.05,8.0,0.007349859420088647,2.369657994208825,261.39677838746695
0.05,0.9,0.05,16.0,0.006804329219963559,2.75615506405425,249.8949121777038
0.05,0.95,0.0,0.0,0.012835317254834349,2.8647185342883703,323.66226154737615
0.05,0.95,0.0,0.5,0.011496181629411684,2.869216781541621,310.94319146774745
0.05,0.95,0.0,1.0,0.010649055125100912,2.916189572664456,301.391724682153
0.05,0.95,0.0,2.0,0.009674015218616818,3.0078176401420875,288.6663389431548
0.05,0.95,0.0,4.0,0.009076308831281207,3.222190303506706,277.8034663326477
0.05,0.95,0.0,8.0,0.007943221369377274,3.450005034753309,266.12617501422227
0.05,0.95,0.0,16.0,0.007511892306028397,4.182307961284966,255.36163194152212
0.1,0.0,0.9,0.0,0.011886820331618019,1.523065032064286,340.79199885051304
0.1,0.0,0.9,0.5,0.010964907039159094,1.5105904570674273,332.8937185814813
0.1,0.0,0.9,1.0,0.01023533785269602,1.4792170431297498,328.5388752562288
0.1,0.0,0.9,2.0,0.009479592740604843,1.5480485137434197,319.19162265927713
0.1,0.0,0.9,4.0,0.008832992879142227,1.4932104478897967,310.23239510940925
0.1,0.0,0.9,8.0,0.00821173417786312,1.5318997830691885,297.2105020602997
0.1,0.0,0.9,16.0,0.007845991306443782,1.5170705121842574,288.9448123841313
0.1,0.05,0.85,0.0,0.011943934915760004,1.4916749845193034,324.96911170546
0.1,0.05,0.85,0.5,0.01049169649098466,1.5252688010534843,316.143660318551
0.1,0.05,0.85,1.0,0.009604391669897861,1.5559688518526231,310.79403256458664
0.1,0.05,0.85,2.0,0.008682631204689194,1.4794142722937078,301.4536876499564
0.1,0.05,0.85,4.0,0.008028862952229121,1.5003047760597312,294.67793880731483
0.1,0.05,0.85,8.0,0.0075417307564177435,1.538738334917922,283.2959828728728
0.1,0.05,0.85,16.0,0.006753945376441702,1.5257922511255977,271.11903898153724
0.1,0.1,0.8,0.0,0.012302912398741194,1.5094658431614338,321.5361716400553
0.1,0.1,0.8,0.5,0.010598983526257428,1.5346104185506881,317.2300015251072
0.1,0.1,0.8,1.0,0.009841167110656605,1.5494052115226011,308.9489735267066
0.1,0.1,0.8,2.0,0.008966814397084457,1.4917387860458666,302.10854390541164
0.1,0.1,0.8,4.0,0.008170813590069029,1.5226433723922812,288.58002494877036
0.1,0.1,0.8,8.0,0.007394425162442612,1.5579397230285894,282.02888370807455
0.1,0.1,0.8,16.0,0.007007133006015214,1.5943638932708641,271.7648707883615
0.1,0.15,0.75,0.0,0.012154696566993898,1.5603662129207876,324.68337278526616
0.1,0.15,0.75,0.5,0.010603473393654772,1.5203176808551724,315.4019917690909
0.1,0.15,0.75,1.0,0.009935757747601132,1.5352335291407904,307.1036774301055
0.1,0.15,0.75,2.0,0.008955664657565324,1.5110032567039882,297.46530055570025
0.1,0.15,0.75,4.0,0.008190627053995148,1.561706069594526,285.23718934922084
0.1,0.15,0.75,8.0,0.007439841519754617,1.529670152446218,275.4282570281644
0.1,0.15,0.75,16.0,0.006852745016381054,1.5573218175632746,265.43800924230874
0.1,0.2,0.7,0.0,0.011803580531366866,1.5511736441721222,316.91158354151304
0.1,0.2,0.7,0.5,0.010792095315118787,1.530422978902769,316.5847696534037
0.1,0.2,0.7,1.0,0.010093992260669407,1.559785504336053,305.3736479340923
0.1,0.2,0.7,2.0,0.009164772565387122,1.5643071445062902,295.9806420403817
0.1,0.2,0.7,4.0,0.00807625059339876,1.5402334889915812,281.29336765519975
