# Layer 2 raw replications. split=e7b5934392cd label_version=v8 sla_high=30.0 sla_med=120.0 sla_low=480.0 agents=5 service_mean=8.0min tickets_per_rep=1000 generated_by=run_system_eval.py
policy,rho,seed,high_mean_wait,high_p95_wait,low_p95_wait,mean_wait,sla_breach_rate,high_sla_breach_rate,rel_tardiness,high_rel_tardiness,low_rel_tardiness
random,0.85,57,4.1048976939885575,16.991263552661202,16.353830103528992,3.7289806184572036,0.003,0.009174311926605505,0.0055339003113136056,0.047385102146302274,0.0
random,0.85,58,6.554599399317792,30.57695689350149,19.998620794919674,4.236834972885279,0.006,0.05813953488372093,0.004297735077954874,0.04908091853231288,0.0
random,0.85,59,3.275309609030573,15.468540431910696,15.371994666280584,3.3156361857606926,0.001,0.009433962264150943,0.001599473833921479,0.015089375791712068,0.0
random,0.85,60,3.2362170094298945,18.25049740940301,27.61186450407359,5.176302481030017,0.003,0.009900990099009901,0.0006270284183843677,0.0023387974742522357,0.0
random,0.85,61,3.753129798369557,16.79832099398954,23.24915754386319,4.6162834092947085,0.005,0.024,0.0028192639556602573,0.017847077653918023,0.0
random,0.85,62,5.094541290952067,18.384313179450803,20.579915345669026,5.435603719349764,0.006,0.04807692307692308,0.005085304989835102,0.044712159386569514,0.0
random,0.85,63,3.3922240113079303,17.269537325116218,26.43843948184937,5.2046264211201025,0.005,0.031914893617021274,0.002246097754586924,0.00660316210701054,0.0
random,0.85,64,2.4481213984005827,10.959561491198201,22.88535584391788,4.262536546937672,0.0,0.0,0.0,0.0,0.0
random,0.85,65,6.4709856146051195,33.509873137405975,26.102692230139922,5.779771208644979,0.008,0.07317073170731707,0.0037946814103371044,0.030169700909135094,0.0
random,0.85,66,4.108329145920609,22.420209496588,27.776522924187923,5.117336186867294,0.003,0.028846153846153848,0.0005251789345976059,0.005049797448053904,0.0
random,0.85,67,9.826877535632423,74.8152917605401,34.88206396587657,7.182688493029011,0.011,0.08333333333333333,0.014567871331793164,0.1509300635087732,0.0
random,0.85,68,4.8859985027636395,22.90288311653903,31.883006903296632,6.602400192326299,0.006,0.03418803418803419,0.004977589976169032,0.031754955108258265,0.0
random,0.85,69,2.875415935963939,13.300686147652613,13.493057498068026,2.5326021039694013,0.001,0.010416666666666666,3.173483606767604e-05,0.0003305712090382921,0.0
random,0.85,70,4.316133257056649,20.448706896473933,20.551130575656195,4.097698479518811,0.003,0.030303030303030304,0.004108976235552723,0.04150481046012851,0.0
random,0.85,71,5.047306866947652,23.022585711594854,15.016074004383782,3.5245532476372827,0.005,0.046296296296296294,0.0029015345942789467,0.026866061058138397,0.0
random,0.85,72,2.8673796036004773,13.633992439846644,19.191644200322003,3.0688320921757124,0.001,0.011111111111111112,0.00016297968110776562,0.0018108853456418402,0.0
random,0.85,73,5.122344516511774,26.49460718849693,19.28357129407552,4.781847715405214,0.008,0.050505050505050504,0.0044211771063031174,0.04166284874524938,0.0
random,0.85,74,4.048747631462008,23.8490486291548,27.237406436097476,5.708278654164085,0.004,0.0196078431372549,0.0034616349984723334,0.026116100774780878,0.0
random,0.85,75,9.176857438676565,34.678582582408545,36.13965238484729,8.505227548590788,0.012,0.07954545454545454,0.01336042253578632,0.12239141214835497,0.00023424695594500194
random,0.85,76,1.8031953077098313,8.81935480819967,12.168807914272152,2.3628173285889265,0.0,0.0,0.0,0.0,0.0
random,0.85,77,3.872687600992067,8.015483399023706,22.1339049858987,4.964378041398891,0.002,0.011363636363636364,0.003352272699165377,0.03797669128288212,0.0
random,0.85,78,2.9146912327983645,13.91027236275701,28.308514534156952,5.7103430740108525,0.002,0.022988505747126436,0.0008364016741545555,0.009613812346604085,0.0
random,0.85,79,2.6947972829148,19.11145510969243,14.92883136911078,3.221227150990243,0.0,0.0,0.0,0.0,0.0
random,0.85,80,5.38033506984687,30.429164313621236,17.221785410353686,4.235136662211738,0.005,0.05555555555555555,0.0032956195574810523,0.0366179950831228,0.0
random,0.85,81,2.0644621407448827,9.309822487924151,14.97956380975574,2.6229247399073508,0.0,0.0,0.0,0.0,0.0
random,0.85,82,2.0706333862138586,8.55555855641,15.689141739647313,3.4372535406083635,0.0,0.0,0.0,0.0,0.0
random,0.85,83,2.549252561402695,10.236121073128118,29.929361404211203,4.939231506381004,0.002,0.011627906976744186,0.0006780632415246918,0.0037929756546914006,0.0
random,0.85,84,3.6267876716054968,18.98979790040151,18.525668389647333,3.6925396347081287,0.002,0.020202020202020204,0.0010825164612609144,0.010934509709706206,0.0
random,0.85,85,4.218371506981654,14.898398653747922,27.713555469067146,6.145801352216722,0.006,0.02608695652173913,0.002953260623023573,0.01571396498792545,0.0
random,0.85,86,3.7776256339221357,17.157328283087622,22.56643507180098,4.398429821093857,0.001,0.01282051282051282,4.2308116471516156e-05,0.0005424117496348226,0.0
random,0.85,87,2.251264908664031,9.932154144209944,16.751990267150983,3.1757165079001872,0.001,0.012048192771084338,0.0005375000247594812,0.006475903912764834,0.0
random,0.85,88,2.662658697577173,10.977959125899238,13.09443170538413,2.9901540296895655,0.001,0.010869565217391304,0.002007496117013587,0.021820609967538988,0.0
random,0.85,89,3.3765237726030586,22.78165574866863,16.149008286800605,3.5606669358780643,0.001,0.01020408163265306,0.00030469037446249935,0.003109085453698973,0.0
random,0.85,90,4.4338310278113475,27.01731443131795,14.17454108041403,3.2953409449196913,0.004,0.04040404040404041,0.0019362890806123593,0.019558475561741007,0.0
random,0.85,91,8.583919844723047,23.907942062305334,41.37366578623488,7.978390770756667,0.007,0.038834951456310676,0.015127996464811505,0.13730661643528386,0.0
random,0.85,92,3.699413443433531,13.948601853159062,37.9821397059535,8.694333439745558,0.008,0.02197802197802198,0.007452773428539361,0.011067649138342836,0.0
random,0.85,93,3.151277720221512,18.796426873066192,21.213556608186618,3.819590485828386,0.002,0.022727272727272728,0.0002661393696693911,0.0030243110189703535,0.0
random,0.85,94,2.305752059890612,9.736362815388995,15.706203385997162,2.763102054295105,0.0,0.0,0.0,0.0,0.0
