Model,Language,Intent_Class,Precision,Recall,F1_Score,Support
Logistic Regression,tamil,balance_not_updated_after_bank_transfer,68.57,60.0,64.0,40
Logistic Regression,tamil,balance_not_updated_after_cheque_or_cash_deposit,97.22,87.5,92.11,40
Logistic Regression,tamil,beneficiary_not_allowed,91.89,85.0,88.31,40
Logistic Regression,tamil,cancel_transfer,80.43,92.5,86.05,40
Logistic Regression,tamil,card_about_to_expire,95.0,95.0,95.0,40
Logistic Regression,tamil,card_acceptance,87.18,85.0,86.08,40
Logistic Regression,tamil,card_arrival,87.8,90.0,88.89,40
Logistic Regression,tamil,card_delivery_estimate,83.72,90.0,86.75,40
Logistic Regression,tamil,card_linking,97.44,95.0,96.2,40
Logistic Regression,tamil,card_not_working,74.0,92.5,82.22,40
Logistic Regression,tamil,card_payment_fee_charged,63.27,77.5,69.66,40
Logistic Regression,tamil,card_payment_not_recognised,70.45,77.5,73.81,40
Logistic Regression,tamil,card_payment_wrong_exchange_rate,90.48,95.0,92.68,40
Logistic Regression,tamil,card_swallowed,100.0,82.5,90.41,40
Logistic Regression,tamil,cash_withdrawal_charge,82.05,80.0,81.01,40
Logistic Regression,tamil,cash_withdrawal_not_recognised,78.38,72.5,75.32,40
Logistic Regression,tamil,change_pin,87.5,87.5,87.5,40
Logistic Regression,tamil,compromised_card,84.62,82.5,83.54,40
Logistic Regression,tamil,contactless_not_working,100.0,90.0,94.74,40
Logistic Regression,tamil,country_support,92.68,95.0,93.83,40
Logistic Regression,tamil,declined_card_payment,80.0,90.0,84.71,40
Logistic Regression,tamil,declined_cash_withdrawal,76.47,97.5,85.71,40
Logistic Regression,tamil,declined_transfer,85.0,85.0,85.0,40
Logistic Regression,tamil,direct_debit_payment_not_recognised,93.75,75.0,83.33,40
Logistic Regression,tamil,disposable_card_limits,92.68,95.0,93.83,40
Logistic Regression,tamil,edit_personal_details,93.02,100.0,96.39,40
Logistic Regression,tamil,exchange_charge,90.0,90.0,90.0,40
Logistic Regression,tamil,exchange_rate,92.68,95.0,93.83,40
Logistic Regression,tamil,exchange_via_app,78.05,80.0,79.01,40
Logistic Regression,tamil,extra_charge_on_statement,85.71,75.0,80.0,40
Logistic Regression,tamil,failed_transfer,68.42,65.0,66.67,40
Logistic Regression,tamil,fiat_currency_support,93.75,75.0,83.33,40
Logistic Regression,tamil,get_disposable_virtual_card,58.46,95.0,72.38,40
Logistic Regression,tamil,get_physical_card,83.33,100.0,90.91,40
Logistic Regression,tamil,getting_spare_card,84.44,95.0,89.41,40
Logistic Regression,tamil,getting_virtual_card,87.88,72.5,79.45,40
Logistic Regression,tamil,lost_or_stolen_card,84.44,95.0,89.41,40
Logistic Regression,tamil,lost_or_stolen_phone,95.0,95.0,95.0,40
Logistic Regression,tamil,order_physical_card,73.33,82.5,77.65,40
Logistic Regression,tamil,passcode_forgotten,100.0,100.0,100.0,40
Logistic Regression,tamil,pending_card_payment,84.62,82.5,83.54,40
Logistic Regression,tamil,pending_cash_withdrawal,91.89,85.0,88.31,40
Logistic Regression,tamil,pending_top_up,96.88,77.5,86.11,40
Logistic Regression,tamil,pending_transfer,69.57,80.0,74.42,40
Logistic Regression,tamil,pin_blocked,90.62,72.5,80.56,40
Logistic Regression,tamil,receiving_money,92.86,97.5,95.12,40
Logistic Regression,tamil,request_refund,61.29,95.0,74.51,40
Logistic Regression,tamil,reverted_card_payment?,62.96,85.0,72.34,40
Logistic Regression,tamil,supported_cards_and_currencies,90.48,95.0,92.68,40
Logistic Regression,tamil,terminate_account,90.7,97.5,93.98,40
Logistic Regression,tamil,top_up_by_bank_transfer_charge,94.59,87.5,90.91,40
Logistic Regression,tamil,top_up_by_card_charge,90.7,97.5,93.98,40
Logistic Regression,tamil,top_up_by_cash_or_cheque,83.78,77.5,80.52,40
Logistic Regression,tamil,top_up_failed,75.68,70.0,72.73,40
Logistic Regression,tamil,top_up_limits,100.0,100.0,100.0,40
Logistic Regression,tamil,top_up_reverted,69.81,92.5,79.57,40
Logistic Regression,tamil,topping_up_by_card,90.91,75.0,82.19,40
Logistic Regression,tamil,transaction_charged_twice,92.5,92.5,92.5,40
Logistic Regression,tamil,transfer_fee_charged,80.0,90.0,84.71,40
Logistic Regression,tamil,transfer_into_account,87.5,87.5,87.5,40
Logistic Regression,tamil,transfer_not_received_by_recipient,77.08,92.5,84.09,40
Logistic Regression,tamil,transfer_timing,82.05,80.0,81.01,40
Logistic Regression,tamil,unable_to_verify_identity,80.0,90.0,84.71,40
Logistic Regression,tamil,verify_my_identity,80.95,85.0,82.93,40
Logistic Regression,tamil,verify_source_of_funds,78.26,90.0,83.72,40
Logistic Regression,tamil,verify_top_up,96.88,77.5,86.11,40
Logistic Regression,tamil,virtual_card_not_working,100.0,2.5,4.88,40
Logistic Regression,tamil,visa_or_mastercard,96.77,75.0,84.51,40
Logistic Regression,tamil,why_verify_identity,76.09,87.5,81.4,40
Logistic Regression,tamil,wrong_amount_of_cash_received,97.22,87.5,92.11,40
Logistic Regression,tamil,wrong_exchange_rate_for_cash_withdrawal,94.44,85.0,89.47,40
Logistic Regression,tamilish,Refund_not_showing_up,78.95,37.5,50.85,40
Logistic Regression,tamilish,activate_my_card,100.0,67.5,80.6,40
Logistic Regression,tamilish,age_limit,71.7,95.0,81.72,40
Logistic Regression,tamilish,apple_pay_or_google_pay,100.0,97.5,98.73,40
Logistic Regression,tamilish,atm_support,47.3,89.74,61.95,39
Logistic Regression,tamilish,automatic_top_up,100.0,72.5,84.06,40
Logistic Regression,tamilish,balance_not_updated_after_bank_transfer,77.78,70.0,73.68,40
Logistic Regression,tamilish,balance_not_updated_after_cheque_or_cash_deposit,76.0,47.5,58.46,40
Logistic Regression,tamilish,beneficiary_not_allowed,91.3,52.5,66.67,40
Logistic Regression,tamilish,cancel_transfer,28.57,95.0,43.93,40
Logistic Regression,tamilish,card_about_to_expire,73.08,47.5,57.58,40
Logistic Regression,tamilish,card_acceptance,31.25,87.5,46.05,40
Logistic Regression,tamilish,card_arrival,53.45,77.5,63.27,40
Logistic Regression,tamilish,card_delivery_estimate,67.57,62.5,64.94,40
Logistic Regression,tamilish,card_linking,93.33,70.0,80.0,40
Logistic Regression,tamilish,card_not_working,68.29,70.0,69.14,40
Logistic Regression,tamilish,card_payment_fee_charged,52.83,70.0,60.22,40
Logistic Regression,tamilish,card_payment_not_recognised,43.1,62.5,51.02,40
Logistic Regression,tamilish,card_payment_wrong_exchange_rate,38.82,82.5,52.8,40
Logistic Regression,tamilish,card_swallowed,97.22,87.5,92.11,40
Logistic Regression,tamilish,cash_withdrawal_charge,53.97,85.0,66.02,40
Logistic Regression,tamilish,cash_withdrawal_not_recognised,72.73,80.0,76.19,40
Logistic Regression,tamilish,change_pin,82.61,47.5,60.32,40
Logistic Regression,tamilish,compromised_card,0.0,0.0,0.0,40
Logistic Regression,tamilish,contactless_not_working,100.0,92.5,96.1,40
Logistic Regression,tamilish,country_support,72.73,60.0,65.75,40
Logistic Regression,tamilish,declined_card_payment,58.33,17.5,26.92,40
Logistic Regression,tamilish,declined_cash_withdrawal,60.0,15.0,24.0,40
Logistic Regression,tamilish,declined_transfer,96.15,62.5,75.76,40
Logistic Regression,tamilish,direct_debit_payment_not_recognised,48.0,30.0,36.92,40
