id,language,tokenizer,model_id,word_count,subword_count,seq_length,fragmentation_ratio,unk_rate,trunc_64,trunc_128,trunc_256,trunc_512
3008,english,xlm_roberta,xlm-roberta-base,5,6,8,1.2,0.0,0,0,0,0
9835,english,xlm_roberta,xlm-roberta-base,11,16,18,1.4545,0.0,0,0,0,0
8664,english,xlm_roberta,xlm-roberta-base,9,14,16,1.5556,0.0,0,0,0,0
8192,english,xlm_roberta,xlm-roberta-base,10,12,14,1.2,0.0,0,0,0,0
1010,english,xlm_roberta,xlm-roberta-base,7,9,11,1.2857,0.0,0,0,0,0
9357,english,xlm_roberta,xlm-roberta-base,9,11,13,1.2222,0.0,0,0,0,0
3939,english,xlm_roberta,xlm-roberta-base,7,9,11,1.2857,0.0,0,0,0,0
1162,english,xlm_roberta,xlm-roberta-base,8,8,10,1.0,0.0,0,0,0,0
9420,english,xlm_roberta,xlm-roberta-base,8,11,13,1.375,0.0,0,0,0,0
2210,english,xlm_roberta,xlm-roberta-base,23,27,29,1.1739,0.0,0,0,0,0
8884,english,xlm_roberta,xlm-roberta-base,10,14,16,1.4,0.0,0,0,0,0
8057,english,xlm_roberta,xlm-roberta-base,8,9,11,1.125,0.0,0,0,0,0
4469,english,xlm_roberta,xlm-roberta-base,20,27,29,1.35,0.0,0,0,0,0
2107,english,xlm_roberta,xlm-roberta-base,9,10,12,1.1111,0.0,0,0,0,0
3676,english,xlm_roberta,xlm-roberta-base,10,11,13,1.1,0.0,0,0,0,0
8087,english,xlm_roberta,xlm-roberta-base,11,14,16,1.2727,0.0,0,0,0,0
2172,english,xlm_roberta,xlm-roberta-base,8,8,10,1.0,0.0,0,0,0,0
1734,english,xlm_roberta,xlm-roberta-base,11,15,17,1.3636,0.0,0,0,0,0
84,english,xlm_roberta,xlm-roberta-base,17,20,22,1.1765,0.0,0,0,0,0
9194,english,xlm_roberta,xlm-roberta-base,7,11,13,1.5714,0.0,0,0,0,0
7731,english,xlm_roberta,xlm-roberta-base,7,11,13,1.5714,0.0,0,0,0,0
271,english,xlm_roberta,xlm-roberta-base,18,22,24,1.2222,0.0,0,0,0,0
8237,english,xlm_roberta,xlm-roberta-base,13,15,17,1.1538,0.0,0,0,0,0
9069,english,xlm_roberta,xlm-roberta-base,7,8,10,1.1429,0.0,0,0,0,0
114,english,xlm_roberta,xlm-roberta-base,12,17,19,1.4167,0.0,0,0,0,0
7494,english,xlm_roberta,xlm-roberta-base,9,11,13,1.2222,0.0,0,0,0,0
2133,english,xlm_roberta,xlm-roberta-base,12,15,17,1.25,0.0,0,0,0,0
15,english,xlm_roberta,xlm-roberta-base,13,14,16,1.0769,0.0,0,0,0,0
5775,english,xlm_roberta,xlm-roberta-base,31,40,42,1.2903,0.0,0,0,0,0
3235,english,xlm_roberta,xlm-roberta-base,15,18,20,1.2,0.0,0,0,0,0
1992,english,xlm_roberta,xlm-roberta-base,15,19,21,1.2667,0.0,0,0,0,0
1232,english,xlm_roberta,xlm-roberta-base,12,13,15,1.0833,0.0,0,0,0,0
5423,english,xlm_roberta,xlm-roberta-base,9,10,12,1.1111,0.0,0,0,0,0
2449,english,xlm_roberta,xlm-roberta-base,6,8,10,1.3333,0.0,0,0,0,0
3624,english,xlm_roberta,xlm-roberta-base,8,11,13,1.375,0.0,0,0,0,0
9570,english,xlm_roberta,xlm-roberta-base,23,28,30,1.2174,0.0,0,0,0,0
3252,english,xlm_roberta,xlm-roberta-base,9,11,13,1.2222,0.0,0,0,0,0
3619,english,xlm_roberta,xlm-roberta-base,16,19,21,1.1875,0.0,0,0,0,0
